grupos_de_edad,total,hombre,mujer,ignorado
Menor de 15,718.0,420,296,2
15-19,1027.0,784,243,0
20-24,1572.0,1197,374,1
25-29,1191.0,904,285,2
30-34,904.0,672,232,0
35-39,658.0,473,185,0
40-44,511.0,360,151,0
45-49,337.0,231,105,1
50-54,282.0,189,93,0
55-59,157.0,112,45,0
60-64,147.0,95,52,0
65-69,117.0,71,46,0
70-74,85.0,58,27,0
75-79,70.0,43,27,0
80 y más,54.0,32,22,0
Ignorado,1077.0,805,262,10
